Time[s], SD_DIN, SD_DOUT, SD_NCS, SD_CLK
0.000453760, 1, 0, 0, 0
0.000454000, 1, 1, 0, 0
0.000454080, 1, 0, 0, 0
0.000454320, 1, 1, 0, 0
0.000454400, 1, 0, 0, 0
0.000454480, 1, 1, 0, 0
0.000454560, 1, 0, 0, 0
0.000454640, 1, 1, 0, 0
0.000454720, 1, 0, 0, 0
0.000454960, 1, 1, 0, 0
0.000455120, 1, 0, 0, 0
0.000455280, 1, 1, 0, 0
0.000455360, 1, 0, 0, 0
0.000455440, 1, 1, 0, 0
0.000455520, 1, 0, 0, 0
0.000455600, 1, 1, 0, 0
0.000455680, 1, 0, 0, 0
0.000455840, 1, 1, 0, 0
0.000455920, 1, 0, 0, 0
0.000456000, 1, 1, 0, 0
0.000456160, 1, 0, 0, 0
0.000456240, 1, 1, 0, 0
0.000456480, 1, 0, 0, 0
0.000456560, 1, 1, 0, 0
0.000456800, 1, 0, 0, 0
0.000456880, 1, 1, 0, 0
0.000457040, 1, 0, 0, 0
0.000457120, 1, 1, 0, 0
0.000457200, 1, 0, 0, 0
0.000457280, 1, 1, 0, 0
0.000457360, 1, 0, 0, 0
0.000457520, 1, 1, 0, 0
0.000457760, 1, 0, 0, 0
0.000457920, 1, 1, 0, 0
0.000458080, 1, 0, 0, 0
0.000458160, 1, 1, 0, 0
0.000458640, 1, 0, 0, 0
0.000458800, 1, 1, 0, 0
0.000458880, 1, 0, 0, 0
0.000459040, 1, 1, 0, 0
0.000459120, 1, 0, 0, 0
0.000459200, 1, 1, 0, 0
0.000459280, 1, 0, 0, 0
0.000459440, 1, 1, 0, 0
0.000459600, 1, 0, 0, 0
0.000460160, 1, 1, 0, 0
0.000460480, 1, 0, 0, 0
0.000460720, 1, 1, 0, 0
0.000460800, 1, 0, 0, 0
0.000460960, 1, 1, 0, 0
0.000461040, 1, 0, 0, 0
0.000461120, 1, 1, 0, 0
0.000461280, 1, 0, 0, 0
0.000461440, 1, 1, 0, 0
0.000461680, 1, 0, 0, 0
0.000461760, 1, 1, 0, 0
0.000461840, 1, 0, 0, 0
0.000462000, 1, 1, 0, 0
0.000462160, 1, 0, 0, 0
0.000462320, 1, 1, 0, 0
0.000462480, 1, 0, 0, 0
0.000462720, 1, 1, 0, 0
0.000462800, 1, 0, 0, 0
0.000462880, 1, 1, 0, 0
0.000462960, 1, 0, 0, 0
0.000463040, 1, 1, 0, 0
0.000463120, 1, 0, 0, 0
0.000463360, 1, 1, 0, 0
0.000463600, 1, 0, 0, 0
0.000463680, 1, 1, 0, 0
0.000463760, 1, 0, 0, 0
0.000464080, 1, 1, 0, 0
0.000464480, 1, 0, 0, 0
0.000464960, 1, 1, 0, 0
0.000465040, 1, 0, 0, 0
0.000465120, 1, 1, 0, 0
0.000465600, 1, 0, 0, 0
0.000465920, 1, 1, 0, 0
0.000466000, 1, 0, 0, 0
0.000466160, 1, 1, 0, 0
0.000466320, 1, 0, 0, 0
0.000466400, 1, 1, 0, 0
0.000466560, 1, 0, 0, 0
0.000466720, 1, 1, 0, 0
0.000466960, 1, 0, 0, 0
0.000467040, 1, 1, 0, 0
0.000467440, 1, 0, 0, 0
0.000467600, 1, 1, 0, 0
0.000467840, 1, 0, 0, 0
0.000467920, 1, 1, 0, 0
0.000468000, 1, 0, 0, 0
0.000468160, 1, 1, 0, 1
0.000468240, 1, 0, 0, 0
0.000468320, 1, 1, 0, 1
0.000468560, 1, 0, 0, 0
0.000468640, 1, 0, 0, 1
0.000468720, 1, 1, 0, 1
0.000468880, 1, 0, 0, 0
0.000468960, 1, 1, 0, 1
0.000469120, 1, 0, 0, 1
0.000469280, 1, 1, 0, 1
0.000469440, 1, 0, 0, 1
0.000469600, 1, 1, 0, 1
0.000469840, 1, 0, 0, 1
0.000469920, 1, 1, 0, 1
0.000470400, 1, 0, 0, 1
0.000470480, 1, 1, 0, 1
0.000470560, 1, 0, 0, 1
0.000470800, 1, 1, 0, 1
0.000470880, 1, 0, 0, 1
0.000471120, 1, 1, 0, 1
0.000471360, 1, 0, 0, 1
0.000471520, 1, 1, 0, 1
0.000472160, 1, 0, 0, 1
0.000472320, 1, 1, 0, 1
0.000472480, 1, 0, 0, 1
0.000472560, 1, 1, 0, 1
0.000472720, 1, 0, 0, 1
0.000472800, 1, 1, 0, 1
0.000473040, 1, 0, 0, 1
0.000473120, 1, 1, 0, 1
0.000473200, 1, 0, 0, 1
0.000473360, 1, 1, 0, 1
0.000473440, 1, 0, 0, 1
0.000473680, 1, 1, 0, 1
0.000473760, 1, 0, 0, 1
0.000473920, 1, 1, 0, 1
0.000474080, 1, 0, 0, 1
0.000474320, 1, 1, 0, 1
0.000474480, 1, 0, 0, 1
0.000474960, 1, 1, 0, 1
0.000475200, 1, 0, 0, 1
0.000475520, 1, 1, 0, 1
0.000476000, 1, 0, 0, 1
0.000476400, 1, 1, 0, 1
0.000476640, 1, 0, 0, 1
0.000476880, 1, 1, 0, 1
0.000477280, 1, 0, 0, 1
0.000477600, 1, 1, 0, 1
0.000477680, 1, 0, 0, 1
0.000477840, 1, 1, 0, 1
0.000477920, 1, 0, 0, 1
0.000478160, 1, 1, 0, 1
0.000478240, 1, 0, 0, 1
0.000478480, 1, 1, 0, 1
0.000478560, 1, 0, 0, 1
0.000478720, 1, 1, 0, 1
0.000478880, 1, 0, 0, 1
0.000478960, 1, 1, 0, 1
0.000479040, 1, 0, 0, 1
0.000479440, 1, 1, 0, 1
0.000479600, 1, 0, 0, 1
0.000479760, 1, 1, 0, 1
0.000479840, 1, 0, 0, 1
0.000480000, 1, 1, 0, 1
0.000480160, 1, 0, 0, 1
0.000480320, 1, 1, 0, 1
0.000480400, 1, 0, 0, 1
0.000480720, 1, 1, 0, 1
0.000480880, 1, 0, 0, 1
0.000481040, 1, 1, 0, 1
0.000481120, 1, 0, 0, 1
0.000481280, 1, 1, 0, 1
0.000481600, 1, 0, 0, 1
0.000481920, 1, 1, 0, 1
0.000482320, 1, 0, 0, 1
0.000482560, 1, 1, 0, 1
0.000482640, 1, 0, 0, 1
0.000482800, 1, 1, 0, 1
0.000482960, 1, 0, 0, 1
0.000483280, 1, 1, 0, 1
0.000483680, 1, 0, 0, 1
0.000484000, 1, 1, 0, 1
0.000484080, 1, 0, 0, 1
0.000484240, 1, 1, 0, 1
0.000484480, 1, 0, 0, 1
0.000484560, 1, 1, 0, 1
0.000484640, 1, 0, 0, 1
0.000484720, 1, 1, 0, 1
0.000484880, 1, 0, 0, 1
0.000485200, 1, 1, 0, 1
0.000485360, 1, 0, 0, 1
0.000485440, 1, 1, 0, 1
0.000485520, 1, 0, 0, 1
0.000485600, 1, 1, 0, 1
0.000486000, 1, 0, 0, 1
0.000486080, 1, 1, 0, 1
0.000486160, 1, 0, 0, 1
0.000486240, 1, 1, 0, 1
0.000486720, 1, 0, 0, 1
0.000486880, 1, 1, 0, 1
0.000487120, 1, 0, 0, 1
0.000487280, 1, 1, 0, 1
0.000487760, 1, 0, 0, 1
0.000487840, 1, 1, 0, 1
0.000488080, 1, 0, 0, 1
0.000488160, 1, 1, 0, 1
0.000488640, 1, 0, 0, 1
0.000488800, 1, 1, 0, 1
0.000489120, 1, 0, 0, 1
0.000489280, 1, 1, 0, 1
0.000489360, 1, 0, 0, 1
0.000489440, 1, 1, 0, 1
